overview,vote_average,length,unique_words
in the nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,7.2,28,26
captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,6.9,34,29
a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,6.3,41,35
following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy,7.6,65,54
john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,6.1,55,42
the seemingly invincible spiderman goes up against an allnew crop of villain  including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,5.9,44,41
when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with  feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs,7.4,83,65
when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,7.3,69,56
as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past,7.4,30,28
fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before,5.7,60,53
superman returns to discover his year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,5.4,55,44
quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved  fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,6.1,59,48
